case_id,round,scope,status,evidence
M0-S10-missing-empty,6,store-prototype-S10-missing-empty,PASS,round-6.md
M0-S11-corrupt-database,6,store-prototype-S11-corrupt-database,PASS,round-6.md
M0-S12-schema-identity,6,store-prototype-S12-schema-identity,PASS,round-6.md
M0-S13-store-unavailable,6,store-prototype-S13-store-unavailable,PASS,round-6.md
M0-S14-sqlite-capacity-full,6,store-prototype-S14-sqlite-capacity-full,PASS,round-6.md
M0-SESSION-01,6,session-prototype-SESSION-01,PASS,round-6.md
M0-SESSION-02,6,session-prototype-SESSION-02,PASS,round-6.md
M0-SESSION-03,6,session-prototype-SESSION-03,PASS,round-6.md
M0-SESSION-04,6,session-prototype-SESSION-04,PASS,round-6.md
M0-SESSION-05,6,session-prototype-SESSION-05,PASS,round-6.md
M0-SESSION-06,6,session-prototype-SESSION-06,PASS,round-6.md
M0-SESSION-07,6,session-prototype-SESSION-07,PASS,round-6.md
M0-SESSION-08,6,session-prototype-SESSION-08,PASS,round-6.md
M0-SESSION-09,6,session-prototype-SESSION-09,PASS,round-6.md
M0-C00,6,candidate-prototype-C00,PASS,round-6.md
M0-C01,6,candidate-prototype-C01,PASS,round-6.md
M0-C02,6,candidate-prototype-C02,PASS,round-6.md
M0-C03,6,candidate-prototype-C03,PASS,round-6.md
M0-C04,6,candidate-prototype-C04,PASS,round-6.md
M0-J01,6,candidate-prototype-J01,PASS,round-6.md
M0-J02,6,candidate-prototype-J02,PASS,round-6.md
M0-E01,6,candidate-prototype-E01,PASS,round-6.md
M0-E02,6,candidate-prototype-E02,PASS,round-6.md
M0-P01,6,candidate-prototype-P01,PASS,round-6.md
M0-P02,6,candidate-prototype-P02,PASS,round-6.md
M0-H03,6,native-read-network-production-isolation,FAIL,round-6.md
M0-P03,6,structured-termination-receipt,PASS,round-5/candidate/taskkill-structured-readback.json
M0-R01,6,independent-db-effect-and-session-readback,PASS,round-5/prototype-summary.json
D07,6,new-architecture-native-prototype,PARTIAL,round-6.md
D11,6,durable-node-runner-and-change-race-prototype,PARTIAL,round-6.md
D13,6,adversarial-findings-runtime-closure,PARTIAL,round-6.md
D08,6,new-architecture-business-and-performance,NOT_RUN,round-6.md
MSG-PROVIDER,13,real-provider-analysis-pipeline,PASS,round-13.md
TASK-PROVIDER,14,real-provider-isolated-engineering,PASS,round-14.md
TASK-EXTERNAL,14,real-github-and-channel-delivery,NOT_RUN,round-14.md
CUTOVER-RECONCILE,15,approved-reconciliation-dry-check,PASS,round-15.md
MSG-EDIT-CONTEXT,15,lossless-intent-context-and-constraint-retention,PASS,round-15.md
DEPLOY-LOCAL,15,exact-package-local-cutover,NOT_RUN,round-15.md
ENGINEERING_CHECK_BUDGET,19,step-and-total-deadline-and-output-boundaries,PASS,round-19.md
ENGINEERING_FAILURE_EVIDENCE,19,persistent-lossless-failure-artifacts,PASS,round-19.md
C01,21,durable-receive-with-blocked-resource-connector,PASS,round-21.md
C02,21,controlled-shared-material-and-independent-item,PASS,round-21.md
C09,21,independent-status-cancel-during-create-handler-block,PASS,round-21.md
C13,21,task-control-during-channel-readback-block,PASS,round-21.md
FINAL_REGRESSION,22,819-tests-with-four-file-concurrency,PASS,round-22.md
BUSINESS_COLD_BUILD,23,fresh-install-build-with-900-second-stage-cap,FAIL,round-23.md
ENGINEERING_CHECK_CAPACITY,24,explicit-1800-and-2400-second-caps-default-unchanged,PASS,round-24.md
BUSINESS_FORMAL_PATH,25,final-config-fresh-check,PASS,round-25.md
LOCAL_CUTOVER,26,approved-six-items-and-exact-package,PASS,round-26.md
INSTALLED_PIPELINE,26,native-provider-isolated-message-task,PASS,round-26.md
BROWSER_VISUAL,26,real-browser-rendering,BLOCKED,round-26.md
BUDGET_EXPLICIT,29,protect-all-explicit-candidates,FAIL,round-29.md
BUDGET_EVIDENCE,29,required-material-reaches-intent,FAIL,round-29.md
BUDGET_FIXED,29,deterministic-output-without-model-budget,FAIL,round-29.md
BUDGET_RESUME,29,resolved-material-capacity-recovery,FAIL,round-29.md
BUDGET_BASELINE,29,message-workflow-and-ledger-50-tests,PASS,round-29.md
BUDGET_EXPLICIT,30,protect-all-explicit-candidates,PASS,round-30.md
BUDGET_EVIDENCE,30,required-material-reaches-intent,PASS,round-30.md
BUDGET_FIXED,30,deterministic-output-without-model-budget,PASS,round-30.md
BUDGET_RESUME,30,resolved-material-capacity-recovery,PASS,round-30.md
BUDGET_TARGETED_REGRESSION,30,message-workflow-ledger-service-93-tests,PASS,round-30.md
BUDGET_FULL_REGRESSION,30,repository-test-suite-888-tests,PASS,round-30.md
