"case","round","scenario","status","evidence","boundary"
"T01","4","A1、B1、A2 同 turn 交错","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T02","4","下一 turn 延续 A","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T03","4","A 候选生成后到达已归类 B","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T04","4","A 候选生成后到达 A 的纠正","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T05","4","候选后到达尚未归类输入","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T06","4","一条消息要求两个话题暂停","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T07","4","两 Topic 影响同一 Task","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T08","4","多 Task 引用同一 Topic","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T09","4","同 Topic 致谢/闲聊","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T10","4","无关话题 A 决策/提交失败","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T11","4","意图写入前/后、Outbox 后、Task 写入后断进程","PARTIAL","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","持久故障注入和重开通过；各边界强杀进程未全部实跑"
"T12","4","动作落地但处理游标未更新","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T13","4","运行中目标/验收/纯事实补充变化","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T14","4","steer 成功但叶子未消费","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T15","4","完成验收期间 Topic 更新或 Task 重开","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T16","4","多参与人、多 Topic 的 Task 结果","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T17","4","同 Topic 不同结论；不同 Topic 同文回复","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T18","4","附件失败后重启及附件恢复","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T19","4","明确 @ 别人后引用转交 Agent","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T20","4","Web 创建/续接/重开；审批回复","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T21","4","首次历史导入与实时补拉","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T22","4","配置切换、退订、进程关闭","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T23","4","v6 真实形态脱敏副本迁移及再次运行迁移","PARTIAL","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","真实SDK读取人工v6 fixture通过；真实profile副本迁移未执行"
"T24","4","旧来源缺失/冲突及旧提交失败","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T25","4","大量历史 Topic 与高频入站","PARTIAL","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","顺序合成存储基准及分页已测；真实模型持续高频积压及SLO未测"
"T26","4","Topic 误归类后修订","PASS","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","受控模型及本地协议测试，不证明真实模型语义"
"T27","4","完成/检查点审阅期间另一个 Topic 持续输入","PARTIAL","round-4.md;round-4/full-tests.log;round-1/runtime-coverage.md","结构化审阅与版本门禁、A/B独立分别通过；持续入流组合压测未测"
"M01","4","真实模型语义归类与续接质量","NOT_RUN","round-4.md","本轮使用受控与fake模型"
"M02","4","真实DWS引用@撤回附件及投递读回","NOT_RUN","round-4.md","未向真实群发送测试消息"
"M03","4","真实profile迁移与已安装Web宿主","NOT_RUN","round-4.md","本轮隔离环境，未部署"
