"id","category","requirement","status","reason","evidence"
"GEN-011","通用","方案已列明必要改动范围及不改动的边界；新增组件、抽象、配置和兼容路径有本次需求依据，未夹带无关重构或预留未经要求的能力。","PASS","设计明确七个子目标、现有机制复用和不采用的扩大方案","../../spec/plugin-performance-flow-plan.md"
"GEN-012","通用","已检索同类实现与框架/语言原生能力，方案指明可复用的文件、组件或接口；决定新建或另行实现时，已说明现有能力不适用的具体原因。","PASS","基于现有tool/Topic/报告和计量事件定位责任，外部glob包单独最小修改","../../spec/plugin-performance-flow-plan.md; search/dsh-glob-fixed-prefix.patch"
"GEN-013","通用","Bug 修复方案有复现、代码路径或现场数据支持的根因依据，已区分事实、推断和未验证项；影响修复方向的关键假设已核实，未以静默跳过、吞错或绕过校验作为修复。","PASS","原glob三例32秒复现；拒绝错误cwd与basename变更的伪提速","search/report.md; search/semantics-results.json"
"GEN-014","通用","已按原始需求及已确认变更逐项核对功能目标与排除项，需求、用例和实际结果可追溯对应；未以工程检查项通过、实现符合方案或工具执行成功代替业务目标达成。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"ARCH-001","技术架构与编码","复杂或跨模块改动已先形成技术方案，写清当前实现、改动边界、数据流、状态与异常路径，以及可验证的完成条件。","PASS","跨模块实现前已有完整实施设计","../../spec/plugin-performance-flow-plan.md"
"ARCH-002","技术架构与编码","业务状态使用枚举统一建模，并贯穿创建、查询、更新、重试及终态判断，未散落魔法字符串或重复状态常量。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"ARCH-003","技术架构与编码","新增或调整字段已贯通实际涉及的 DTO、请求、响应、计算、快照、序列化、恢复、持久化和回显链路，未只补某一层。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"ARCH-004","技术架构与编码","不同层的字段名、类型和含义有显式映射；未依赖对象展开或同名假设，导致新配置被代表项、默认值或旧字段覆盖。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"ARCH-005","技术架构与编码","已区分未提供、显式清空、空字符串、null、false 和 0；合法的 0/false 未被当作空值，显式清空能覆盖旧值。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"ARCH-006","技术架构与编码","公共能力的输入契约与完整分支已核对；前置资格判断、值归一化和实际执行采用一致语义，未误拦原本合法的场景。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"ARCH-007","技术架构与编码","可空字段和关联字段按业务组合校验；允许合法空配置，拒绝残缺身份、非法引用及不匹配的流类型或单位组。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"ARCH-008","技术架构与编码","请求参数、函数参数和环境配置职责明确，未用环境变量替代或暗中改变显式入参。","PASS","筛选参数来自HTTP query；搜索pattern/path来自调用参数，不使用env覆盖","packages/dingtalk-dsh-assistant/http.js; search/dsh-glob-fixed-prefix.patch"
"ARCH-009","技术架构与编码","行为、接口、配置或部署前置条件变化时，已同步相关文档与脚本；文档描述与最终实现一致。","PASS","已更新README与既有本地部署runbook，明确恢复和观测限制","README.md; docs/ops/resident-review-local-deployment.md"
"ARCH-010","技术架构与编码","字段或接口变更方案已列明本次实际经过的请求、转换、计算、快照、保存、恢复和回显环节，明确名称/类型映射、关联校验及未提供、清空、null、false、0 的语义。","PASS","方案列出版本/身份/持久请求与性能事件投影链路","../../spec/plugin-performance-flow-plan.md"
"ARCH-011","技术架构与编码","调整公共能力前，已核对现有输入契约、合法分支及受影响调用方；方案明确资格判断、值归一化和实际执行的共同规则，未因单个场景加严而误拦其他合法路径。","PASS","方案要求保留合法读取/授权/历史引用，并验证失败零副作用","../../spec/plugin-performance-flow-plan.md"
"DB-001","数据库","新增或改动的应用 SQL 统一写在 MyBatis XML 中，未散落在 SQL 注解、业务代码或拼接的 SQL 片段中。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-002","数据库","本次新增或改动的 SQL 未使用数据库独有的方言，如 ON CONFLICT (xxx) DO NOTHING；未将移除单个关键词等同于完整跨库兼容。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-003","数据库","新建表的 SQL 脚本包含表及全部字段的注释，注释与实际字段、状态和业务含义一致，并已逐项核对，无遗漏。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-004","数据库","未新增数据库函数、存储过程或触发器承载业务逻辑；业务判断、审核人去重、重试计算和状态流转由应用代码实现。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-005","数据库","数据库只承担必要的持久化、事务、约束和索引职责；未因把业务逻辑移到应用层而丢失必要的唯一性和数据完整性保护。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-006","数据库","执行预检查、迁移、验证或回滚前，已确认目标为同一个实际数据库/schema；未硬编码 public 等环境假设，导致检查或操作错对象。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-007","数据库","数据库变更执行前，已准备预检查、执行后独立验证及受保护回滚措施；已有业务数据时，回滚不会直接删除或清空这些数据。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-008","数据库","应用引用新增表或字段前，已确认必需的 schema 迁移落地；数据库变更与应用发布按确认的依赖顺序执行。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-009","数据库","正式执行数据库变更前，迁移已在隔离环境演练首次执行、重复执行、约束冲突、回滚及范围外数据不变；未直接使用共享业务库代替隔离演练。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-010","数据库","涉及持久化时，方案已明确 Mapper/XML 与应用层的职责和改动位置；应用 SQL 放在 MyBatis XML，未选择数据库独有方言，也未把业务逻辑交给数据库函数、存储过程或触发器。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-011","数据库","数据模型方案依据现场 schema 明确本次表/字段、关联、唯一约束和索引变化及其必要性；涉及业务状态时明确统一枚举与存储映射，未因应用层处理而取消必要的数据完整性保护。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"DB-012","数据库","数据库变更方案已明确目标库/schema、迁移与应用的先后依赖、隔离演练、预检查、执行后验证和保护已有数据的回滚方式；未将不可逆操作留到执行时临时决定。","N/A","本轮为Node插件与文件Domain可选计量投影，无关系数据库、MyBatis、DDL或共享业务库迁移；Domain校验另由ARCH/TX覆盖","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-001","前端与交互","已核对实际注册组件、渲染分支、DOM 结构与样式覆盖链，未只凭组件名、源码选择器或截图外观判断实现生效。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-002","前端与交互","同类入口复用一致的展示与交互规则；列表、结果项、展开来源、弹窗等受影响入口均已检查，未只修截图中的一处。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-003","前端与交互","控件的显示、可点击、禁用、选择和提交条件与实际执行逻辑一致；无权限、缺身份或非法值不会显示为可操作。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-004","前端与交互","重置或切换关联对象时，同步处理依赖的 ID、名称、单位、单位组、显示标签和请求字段，未残留旧对象的派生状态。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-005","前端与交互","对象类型或业务模式切换后，不适用的旧配置已清理；默认值、用户选择、重置后重新选择的行为一致。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-006","前端与交互","样式验收测量真实渲染节点及其间距，必要时同时检查包装层与内部 SVG；未仅凭 CSS 声明值判定视觉要求达标。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-007","前端与交互","样式调整未破坏颜色和类型语义、长文本截断、tooltip、hover、点击、勾选、展开及只读/可编辑行为。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-008","前端与交互","加载失败、身份缺失、无匹配数据或权限异常有明确反馈，未因空数组、过滤全不命中或提前 return 导致静默空白或旧表单残留。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"FE-009","前端与交互","交互方案已明确显示/禁用/提交条件、关联对象重置和模式切换时的依赖状态处理，以及加载、身份或权限异常的反馈；需调整样式时明确真实渲染节点和可验证的交互目标。","N/A","本轮不修改前端组件、DOM、样式或表单交互，仅Runtime/只读API与文档","../../spec/plugin-performance-flow-plan.md; goal.md"
"TX-001","事务、并发与异步通知（涉及时）","需要锁保护的业务判断和快照读取在取得锁后执行；使用同一份最新对象完成校验、状态更新及后续事件构造，未混用锁前旧数据。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"TX-002","事务、并发与异步通知（涉及时）","幂等键、作用范围和并发控制方式明确；重复请求得到约定结果，未把唯一键报错直接当作幂等成功，也未依赖无锁的先查后插。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"TX-003","事务、并发与异步通知（涉及时）","关联业务写入保持同一事务的原子性；拒绝或回滚后，业务状态、关联记录和待发送事件均无非预期变化。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"TX-004","事务、并发与异步通知（涉及时）","数据库异常按目标数据库的实际事务行为处理；未吞掉唯一键冲突后在已失效事务中继续查询或提交，未另开事务破坏原子性。","N/A","本轮没有关系数据库事务或多实例部署；文件Domain的版本、幂等和恢复验证由TX及runtime测试覆盖","packages/dingtalk-dsh-assistant/store.js; runtime-integration-4.log"
"TX-005","事务、并发与异步通知（涉及时）","要求可靠通知时，业务变更与待投递事件在同一事务落库，事件仅在提交后被投递；未将“异常只记日志”包装成可靠送达。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"TX-006","事务、并发与异步通知（涉及时）","异步任务具备多实例竞争控制、有界重试、下一次执行时间、错误记录及明确终态，未无限重试或重复处理已完成事件。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"TX-007","事务、并发与异步通知（涉及时）","方案已区分事件入队幂等与下游通知去重；“发送成功但状态尚未提交”等故障窗口有明确处理或风险说明，未承诺缺少机制或验证依据的仅投递一次。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"TX-008","事务、并发与异步通知（涉及时）","事务与并发方案已明确需原子提交的写入集合、锁的对象及加锁后读取时点、幂等键与作用范围，以及重复请求、竞争失败和数据库异常后的处理方式。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"TX-009","事务、并发与异步通知（涉及时）","可靠通知或异步任务方案已明确业务提交与事件落库/投递的关系、多实例竞争控制、重试上限与间隔、错误记录和终态；未仅以异常日志或无限重试代替可靠性设计。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"QA-001","测试与验收","测试用例来自需求与实际业务分支，覆盖正常、拒绝、空值及受影响路径；未把当前错误实现直接写成预期答案。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"QA-002","测试与验收","已针对最终修改版本实跑必要的测试、静态检查、构建和真实业务交互；超时、中断、跳过或尚未完成的验证未记为通过。","PENDING","本地完整回归/原生生命周期/构建已跑；真实供应商及钉钉业务E2E未执行，保留PENDING并以草稿PR交付","round-8.md; round-8-tests.log"
"QA-003","测试与验收","已验证用户可观察的最终结果：不仅检查控件或请求，还检查保存后的结果、必要的持久化及重新读取/恢复行为。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"QA-004","测试与验收","已明确区分源码断言、单元测试、mock/夹具、真实接口和真实页面证据；静态检查或夹具通过未被当作真实业务全场景通过。","PASS","记录明确区分真实rg、夹具、runtime本地回归、未执行生产流量","round-1.md; search/report.md"
"QA-005","测试与验收","涉及事务、锁、幂等或多实例竞争时，已补真实数据库和并发验证，未仅依赖 mock 调用次数或内存状态测试。","N/A","本轮没有关系数据库事务或多实例部署；文件Domain的版本、幂等和恢复验证由TX及runtime测试覆盖","packages/dingtalk-dsh-assistant/store.js; runtime-integration-4.log"
"QA-006","测试与验收","开始本地验证前，已确认环境运行本次 worktree 的代码，依赖、环境文件、端口和构建缓存正确，未误测主检出或旧构建产物。","PASS","独立worktree装依赖；上游独立clone装依赖，未软链主仓monorepo源码","goal.md; search/report.md"
"QA-007","测试与验收","评审发现、测试失败或用户复验失败已重新打开相关验收项，修正后重新验证；未继续复用已被新证据推翻的完成结论。","PASS","前3轮runtime失败记录保留，第4轮132 PASS；最终全量仍待","runtime-integration.log; runtime-integration-4.log"
"QA-008","测试与验收","验收记录能对应具体版本、场景及证据；多轮验证保留失败与重跑记录，不覆盖历史，不以测试总数或“全绿”替代需求逐项验收。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"QA-009","测试与验收","测试数据和临时资源有明确边界；使用临时副本后按精确对象清理并独立回读，确认无残留且范围外数据未改变。","PENDING","测试数据限定临时目录；生成搜索夹具清理被自动审批拒绝，未绕过删除，夹具已gitignore且未改业务数据","search/report.md; search/.gitignore"
"QA-010","测试与验收","已依据原始需求确定可观察的完成条件，以及正常、拒绝、边界和受影响场景的预期结果与验证方法；涉及事务/并发时已安排真实数据库验证，未以当前错误实现作为预期。","PASS","矩阵包含拒绝/版本/隔离/恢复及搜索语义反例","matrix.csv; ../../spec/plugin-performance-flow-plan.md"
"QA-011","测试与验收","已核对验证所需环境、依赖、账号/权限和测试数据的可获得性，明确测试、构建、真实交互及证据保留/临时资源清理的安排；无法取得必要证据的缺口已显式记录，未假定以后自然可验证。","PASS","本地验证可用；真实流量、人工真值及责任包安装缺口明确记录","round-1.md; goal.md"
"QA-012","测试与验收","提交代码、创建 PR 或部署前，已在本地实跑当前改动所需的测试、静态检查、构建和真实业务 E2E，看到预期结果；未将必要的本地验证留待部署后补做。","PENDING","本地完整回归/原生生命周期/构建已跑；真实供应商及钉钉业务E2E未执行，保留PENDING并以草稿PR交付","round-8.md; round-8-tests.log"
"QA-013","测试与验收","阶段完成时已独立读回完整清单及证据：全部条目最终仅为 PASS（通过）或 N/A（不涉及），无漏项/重复 ID；PASS 有证据且 N/A 有范围依据。其余状态或证据不足均打回对应阶段补证/修正并复验，不以 N/A 代替本阶段应执行而未执行/缺证据/失败/无权限，保留失败与重跑记录。","PENDING","完整90项已读回，无漏项重复；真实流量和资源清理等仍PENDING，因此不宣称全部验收通过","matrix.csv; round-8.md"
"PROJ-001","项目专用 / HiQ 编辑器","接口提示、业务异常、前端提示及通知正文支持项目现有语言，复用既有多语言资源和解析机制，未新增单一语言硬编码文案。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-002","项目专用 / HiQ 编辑器","相关文案键在所有支持语言中齐全，参数替换及实际显示已验证；缺失键行为符合现有约定，未仅检查资源文件存在。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-003","项目专用 / HiQ 编辑器","当前用户和业务身份上下文取自项目权威身份/服务端上下文，覆盖 SSO；未依赖某种登录方式才会写入的 cookie，ID 比较的类型语义一致。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-004","项目专用 / HiQ 编辑器","涉及本地持久化或临时状态时，按项目约定的租户、用户、业务对象及版本/轮次等必要维度隔离，未跨身份或跨业务上下文复用。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-005","项目专用 / HiQ 编辑器","恢复临时状态前已核对其依赖的业务上下文与表单/配置结构；依赖变化时正确失效或重建，覆盖结构由非空变为空的情况，未恢复不匹配的旧状态。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-006","项目专用 / HiQ 编辑器","临时保存与正式提交的副作用明确分离，未因临时保存生成正式业务记录或推进业务状态；提交成功仅清理本次范围的临时数据，失败保留可恢复内容。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-007","项目专用 / HiQ 编辑器","本地存储不可用或容量不足时，按项目现有提示机制明确反馈；不依赖该存储的正式业务操作仍可正常执行。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-008","项目专用 / HiQ 编辑器","附件沿用项目既有的存储、隔离与生命周期规则；表单本地持久化只保存约定内容，未混存附件内容或敏感凭据。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-009","项目专用 / HiQ 编辑器","涉及用户身份或隔离数据时，方案已定位项目权威身份/服务端上下文及适用的租户、用户、业务对象等隔离维度，明确 SSO 路径；未依赖某种登录方式才写入的 cookie。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-010","项目专用 / HiQ 编辑器","涉及本地持久化或临时状态时，方案已明确保存范围、上下文/结构变化后的失效规则、临时保存与正式提交的副作用、成功清理与失败恢复方式，以及存储不可用和附件/凭据的处理边界。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"PROJ-011","项目专用 / HiQ 编辑器","涉及用户可见提示或通知时，方案已定位项目既有多语言资源及解析机制，明确本次新增/修改文案和参数替换方式，未计划新增单一语言硬编码或另一套国际化实现。","N/A","本项目为中文钉钉DSH插件，不是HiQ编辑器；未修改其SSO、国际化、表单临时保存或附件存储","../../spec/plugin-performance-flow-plan.md; goal.md"
"DELIVERY-001","分支、交付与环境核验","已核对最新正确开发基线、目标集成线及生产候选线；在隔离分支/worktree 开发，未因部署到 UAT 就随意从 UAT 分支签出。","PASS","fetch后基于origin/main fd8fa15建立独立worktree-performance-flow","goal.md"
"DELIVERY-002","分支、交付与环境核验","交付前复核最终 diff 与并发合入的相关改动；需要 UAT/生产候选双路交付时，功能补丁一致且不夹带无关分支历史。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"DELIVERY-003","分支、交付与环境核验","push 前按 URL 回查开发 PR 与 UAT 集成 PR 各自的 base/head、state 和 mergedAt；开发 PR 未合并 main 时沿原开发分支续作，UAT PR 已合并不触发更换开发分支；已合入 main 后的新修改另开分支。PR 正文自包含改动、实际验证证据、风险和未验证项。","PASS","已核对分支无旧PR后push；创建草稿PR并独立回读OPEN/DRAFT及源码head，正文包含实跑与未验边界","https://github.com/HiQ-AI/dingtalk-dsh-assistant/pull/113; round-9.md"
"DELIVERY-004","分支、交付与环境核验","需要部署时，精确提交、实际流水线取源码方式、构建制品及运行版本可以串联；未仅凭上传成功、流水线成功或镜像标签判定目标代码已生效。","N/A","当前交付范围不含安装/部署、合并或worktree清理；保留工作区且没有声明运行版本生效","goal.md; docs/ops/resident-review-local-deployment.md"
"DELIVERY-005","分支、交付与环境核验","部署后已独立核验服务启动、就绪及真实业务入口；需要登录时验证登录后访问，未用登录页 HTTP 200 代替应用可用。","N/A","当前交付范围不含安装/部署、合并或worktree清理；保留工作区且没有声明运行版本生效","goal.md; docs/ops/resident-review-local-deployment.md"
"DELIVERY-006","分支、交付与环境核验","已区分本地业务 E2E、UAT 技术交付与测试负责人正式 UAT 验收；发到 UAT 后核对目标版本、服务和实际入口，不重复业务 E2E，也不以技术健康代替已要求的本地 E2E 或越权发布生产。","PASS","本轮仅本地验证与PR准备，不以健康/测试替代真实业务结果","round-1.md; docs/ops/resident-review-local-deployment.md"
"DELIVERY-007","分支、交付与环境核验","方案已明确本次交付止点、目标分支/环境、必要授权、部署前置条件和版本取证方式；已区分本地业务 E2E、UAT 技术交付与测试负责人正式 UAT 验收，未把开发或提测扩大为生产发布。","PASS","明确源码/PR交付止点与后续单独部署取证步骤","goal.md; docs/ops/resident-review-local-deployment.md"
"DELIVERY-008","分支、交付与环境核验","合并、上传或部署前，已现场核对目标仓库/环境、授权、实际取源码方式及所需脚本/配置，确认精确提交能进入目标构建；未以方案承诺或上传成功替代这些前置检查。","N/A","当前交付范围不含安装/部署、合并或worktree清理；保留工作区且没有声明运行版本生效","goal.md; docs/ops/resident-review-local-deployment.md"
